code	location
01	Vacallo/Chiasso (TI)
02	Rancate (TI)
03	Barbengo/Lugano (TI)
04	Croglio/Purasca (TI)
05	Lugano (TI)
06	Foce Ticino/Gordola (TI)
07	Giubiasco (TI)
08	Biasca (TI)
09	Locarno (TI)
10	Zürich (ZH)
12	Lausanne (VD)
11.1	Kloten+Flughafen (ZH)
11.2	Kloten (ZH)
13	Lenzburg (AG)
14	Bern (BE)
15	Basel (BS)
16	Genève (GE)
17	Chur (GR)
18	Luzern (LU)
19	Altenrhein (SG)
20	Schaffhausen (SH)
21	Freienbach (SZ)
22	Fribourg (FR)
23	Ergolz (BL)
24	Ski-resort
25	Laupen (BE)
26      Schaffhausen (SH)
32      Bern (BE)
33      Porrentruy (JU)
34      Neuchâtel (NE)
35      Solothurn (SO)
36      Schwyz (SZ)
37      Sierre/Noes (VS)
99	water negative
Ba	Basel (catchment area ARA Basel)
KLZHCov	Kanton Zürich
KLZHCov_Promega	Kanton Zürich/Promega
558600	Lausanne (VD)
624801	Sierre/Noes (VS)
680000	Porrentruy (JU)
